"","run_accession","submission_accession","study_abstract","study_description"
"12","SRR1930777","SRA165362","By human microbiome sequencing we can better understand how host evolutionary and ontogenetic history is reflected in the microbial function. However, there has been no information on the gut metagenome configuration in hunter-gatherer populations, posing a gap in our knowledge of gut microbiota (GM)-host mutualism arising from a lifestyle that describes over 90% of human evolutionary history. Here, we present the first metagenomic analysis of GM from Hadza hunter-gatherers of Tanzania, showing a unique enrichment in metabolic pathways that align with the dietary and environmental factors characteristic of their foraging lifestyle. We found that the Hadza GM is adapted for broad spectrum carbohydrate metabolism, reflecting the complex polysaccharides in their diet. Furthermore, the Hadza GM is equipped for branched-chain amino acid degradation and aromatic amino acid biosynthesis. Resistome functionality demonstrates the existence of antibiotic resistance genes in a population with little to no antibiotic exposure, indicating the ubiquitous presence of environmentally derived resistances. Our results demonstrate how the functional specificity of the GM correlates with environment and lifestyle, and how complexity from the exogenous environment is matched by endogenous homeostasis. The Hadza gut metagenome structure allows to appreciate the co-adaptive functional role of the GM in complementing the human physiology, providing a better understanding of the versatility of human life and subsistence.",NA
"13","SRR1462447","SRA146236","C.diff FMT",NA
"14","SRR1505167","SRA172917","Observations on the dynamics of bacterial communities in response to methane stimulus in laboratory microcosm incubations prepared with Lake Washington sediment samples. Whole metagenome sequencing of short-term community dynamics, in two oxygen tension regimens (â€˜highâ€™ and â€˜lowâ€™), observing rapid loss of species diversity.",NA
"15","SRR5382269","SRA547799","Raw DNA and RNA sequences from bacterial content of mouse cecum were generated to identify species and functions associated with colorectal cancer.",NA
"16","SRR6659417","SRA654526",NA,NA
"17","SRR6659585","SRA654526",NA,NA
"18","SRR5249715","SRA537487","Quasi-metagenomics for rapid trace-back of pathogens from complex matrices: a case study with Listeria monocytogenes from ice-cream linked to an outbreak",NA
"19","SRR7039254","SRA692805",NA,NA
"20","SRR6339791","SRA635598",NA,NA
"21","SRR4101303","SRA458525","fresh bagged spinach spiked with STEC",NA
"22","SRR1980431","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"23","SRR1980431","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"24","ERR453546","ERA293179","We performed a follow-up study of the gut microbiota in patients treated with antibiotic therapy, whom developed Clostridium difficile infection as a consequence. We used the 16s rRNA and metagenomic approaches to gain insights in the effect of the pathogen infection in the structure and functions of the human gut microbiota.","We performed a follow-up study of the gut microbiota in patients treated with antibiotic therapy, whom developed Clostridium difficile infection as a consequence. We used the 16s rRNA and metagenomic approaches to gain insights in the effect of the pathogen infection in the structure and functions of the human gut microbiota."
"25","SRR2962468","SRA313927","Application of molecular tools to identify taste and odor producing bacteria and toxigenic cyanobacteria in US drinking water reservoirs. Additionally, the effect that cyanobacterial blooms have on the microbial community was assessed.",NA
"26","SRR7892483","SRA777555",NA,NA
"27","SRR1490872","SRA146236","C.diff FMT",NA
"28","SRR1616981","SRA192497","Sewage samples were collected from wastewater systems of different medical facilities. The aim of this study is to investigate the abundance of Antibiotic Resistance Genes and microbial diversity in sewage using Illumina high-throughput sequencing.",NA
"29","SRR3131887","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"30","SRR7524170","SRA740133",NA,NA
"31","SRR4101311","SRA458525","fresh bagged spinach spiked with STEC",NA
"32","SRR2937621","SRA312534","Microbiome and resistome of human fecal and environmental microbiota from rural El Salvador and peri-urban Lima, Peru",NA
"33","SRR5935924","SRA599569","The main Inflammatory Bowel Disease (IBD) Multi''omics Database (IBDMDB) study includes multiâ€™omics measurements from over 100 subjects, sampled biweekly over up to a year in both adult and pediatric patients with IBD (Crohnâ€™s disease and ulcerative colitis), along with non-IBD controls. Data types include fecal metagenomes, metatranscriptomes, metabolomes, and proteomes, as well as host genetics, intestinal biopsy transcriptomes, epigenetics, and 16S amplicon profiles. Subjectsâ€™ medical histories and demographics are collected at baseline and medication, diet, and disease activity profiled longitudinally.",NA
"34","SRR3131839","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"35","SRR5091499","SRA501719","Gut microbiome make contributions to human host, and intestinal dysbiosis is associated with rheumatoid arthritis. Here we firstly demonstrated that the human gut microbiome related to rheumatoid arthritis could be divided into subtyping groups under different human enterotypes, which indicate the associations between rheumatoid arthritis and gut microbiome were diverse. In rheumatoid arthritis-related microbiota, Prevotella could be an indicator of early rheumatoid arthritis patients but insufficient to differentiate RA patients from healthy controls, and Bacteroides coprocola enriched in group 3 and Bacteroides dorei enriched in group 4 were considered to be as indicators of serious rheumatoid arthritis patients. Our findings provide additional evidences supporting that rheumatoid arthritis is a heterogeneous disease. Thus, the study of association between disease and gut microbiome should be conducted under different human gut enterotypes.",NA
"36","SRR6235884","SRA626330",NA,NA
"37","SRR3457749","SRA417018","In vitro analysis of the cow rumen microbiome in different dietary conditions.",NA
"38","SRR1501075","SRA146236","C.diff FMT",NA
"39","ERR2607594","ERA1502683",NA,NA
"40","SRR6659444","SRA654526",NA,NA
"41","SRR1461986","SRA146236","C.diff FMT",NA
"42","SRR4101298","SRA458525","fresh bagged spinach spiked with STEC",NA
"43","SRR3132298","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"44","SRR1491039","SRA146236","C.diff FMT",NA
"45","SRR3933348","SRA442324","ESRF shotgun metagenomics project",NA
"46","ERR1913817","ERA872065",NA,NA
"47","SRR1490902","SRA146236","C.diff FMT",NA
"48","SRR1491016","SRA146236","C.diff FMT",NA
"49","SRR4098591","SRA458169","Metagenomic sequencing of samplings from clinical infections. Sample types include stool, nasopharynx, skin, etc.",NA
"50","SRR2992959","SRA319014","Metagenomic sequencing to identify and measure the abundances of microorganisms present in stool samples from athletes",NA
"51","SRR5990910","SRA604095","A number of viruses have been associated with honey bee (Apis mellifera) health and declines worldwide, although populations in Africa remain understudied. Viruses that are widespread in Europe and North America have previously been detected in African countries, however their prevalence in wild, unmanaged populations remains unclear. Here, we applied an unbiased high-throughput sequencing approach to test for the presence of known viruses in wild A. mellifera populations across Kenya and report the first identification of Israeli acute paralysis virus (IAPV). Comparison to North American populations revealed IAPV was less abundant in samples collected from Kenya, and phylogenetic analysis did not suggest evidence for multiple origins of the virus in sampled populations.",NA
"52","SRR1462780","SRA146236","C.diff FMT",NA
"53","ERR2227784","ERA1167337",NA,NA
"54","SRR5249712","SRA537487","Quasi-metagenomics for rapid trace-back of pathogens from complex matrices: a case study with Listeria monocytogenes from ice-cream linked to an outbreak",NA
"55","SRR1523528","SRA176395","Selective DNA isolation using restriction enzymes",NA
"56","ERR260158","ERA206883","Gut metagenome in European women with normal, impaired and diabetic glucose control",NA
"57","ERR2508899","ERA1286970",NA,NA
"58","SRR6907961","SRA675736",NA,NA
"59","SRR822539","SRA064711","The present study focused on the potential impacts of external and internal factors on gut microbiome and its metabolic role in grass carp (Ctenopharyngodon idella) using metagenomic sequencing.",NA
"60","SRR6748039","SRA660317",NA,NA
"61","SRR1910135","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"62","SRR1910135","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"63","ERR2227809","ERA1167337",NA,NA
"64","SRR2053308","SRA268934","Surface water collected in the Baltic Proper, 10 km east of Ã–land in the Baltic Proper (N 56Â°55.851, E 17Â°03.640)",NA
"65","SRR1214758","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"66","SRR7479803","SRA733848",NA,NA
"67","SRR1437999","SRA171032","The of this study was to analyse the viromes of 20 faecal samples of wild urban brown rats from Berlin, Germany with subsequently whole genome characterization of a group A rotavirus.",NA
"68","SRR4929941","SRA490530","Microbiota that co-enrich during efforts to recover pathogens from foodborne outbreaks interfere with efficient detection and recovery. Here, efficiency and dynamics of co-enriching microbiota during recovery of Listeria monocytogenes from naturally contaminated ice cream samples linked to an outbreak are examined using three methods: 1) 48 hour enrichment in buffered Listeria enrichment broth (BLEB); 2) 24 hour enrichment in Half-Fraser broth (HFB), followed by 24 hour in Fraser broth (FB); and 3) 24 hour enrichment in University of Vermont modified broth (UVM) followed by 24 hour in FB. Samples were evaluated at four-hour intervals over a 48-hour enrichment process using DNA extraction and sequencing for each time-point. Resphera Insight and CosmosID analysis tools were employed for high-resolution profiling of 16S rRNA amplicon and whole genome shotgun datasets, respectively.",NA
"69","SRR5156163","SRA524775","We conducted metagenomic and metatranscriptomic sequencing of the human gut microbiome among 308 participants enrolled in a subcohort of men nested within the Health Professionals Follow-up Study. Using a previously validated self-sampling stool collection method (PMID24843156), participants provided up to four stool samples â€“ one set of samples collected approximately 48 hours apart followed by a second set approximately 6 months later. DNA extracted from 929 stool samples and RNA extracted from 378 stool samples was reverse-transcribed to cDNA and sequenced using the Illumina HiSeq platform. Raw data were filtered to remove low quality and human reads. Metagenomic and metatranscriptomic read data were then profiled for functional and taxonomic composition using the HUMAnN2 and MetaPhlAn2 platforms respectively.",NA
"70","SRR6659537","SRA654526",NA,NA
"71","SRR3933345","SRA442324","ESRF shotgun metagenomics project",NA
"72","SRR4289238","SRA476210",NA,NA
"73","SRR5056651","SRA498975","This project takes advantage of challenge studies with an important human pathogen, Vibrio cholera, the etiological agent of cholera, which causes severe diarrhea in developed countries. The goal of this study is to understand the dynamic interactions between the host, pathogen and microbiota and how these interactions play a role in determining the pathogen population in the host, the development of an immune response, and the diversity and ecology of the microbiota. The project uses a combination of genomic, transcriptomic and metagenomic technologies together with human challenge studies to generate new insights into the interaction of host, pathogen, and microbiota.",NA
"74","SRR7217810","SRA710613",NA,NA
"75","SRR5601447","SRA566121","the mechanism of subtidal biofilm formation on the material surface by using metatranscriptomic analysis",NA
"76","SRR6659513","SRA654526",NA,NA
"77","ERR1915209","ERA872065",NA,NA
"78","SRR6659544","SRA654526",NA,NA
"79","SRR1915939","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"80","SRR1915939","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"81","SRR1461911","SRA146236","C.diff FMT",NA
"82","SRR1980378","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"83","SRR1980378","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"84","SRR5567690","SRA561907",NA,NA
"85","SRR1490845","SRA146236","C.diff FMT",NA
"86","SRR6659440","SRA654526",NA,NA
"87","SRR5678966","SRA573671","The objective of this study was to evaluate the impact of natural and organic rearing methods on the amount and type of antibiotic resistance genes (resistome) of feces and environmental samples in feedlot and dairy farms.",NA
"88","SRR1915604","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"89","SRR1915604","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"90","SRR6659485","SRA654526",NA,NA
"91","SRR3132158","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"92","SRR6659499","SRA654526",NA,NA
"93","SRR1491380","SRA146236","C.diff FMT",NA
"94","SRR6659540","SRA654526",NA,NA
"95","DRR072200","DRA005134","Acute cholecystitis (AC) is a benign inflammatory disease that can be fatal if treated inappropriately. In this study, metagenome analysis was performed to evaluate the characteristics of AC patients and usefulness of rapid diagnostics.",NA
"96","SRR5788318","SRA582591",NA,NA
"97","SRR7524154","SRA740133",NA,NA
"98","SRR1980289","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"99","SRR1980289","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"100","SRR6659416","SRA654526",NA,NA
"101","ERR209111","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"102","ERR2227532","ERA1167337",NA,NA
